group_kanji,member_number,kanji,original_kanji,meaning,story,frame_number,onyomi
貝,1,貝①,貝,shellfish,"To remember the primitive elements that make up this kanji, an eye and animal legs, you might be tempted to think of it as a pictograph of a shellfish with its ridged shell at the top and two little legs sticking out of the bottom. But that might not help you recall later just how many ridges to put on the shell. Better to imagine a freakish shellfish with a single, gigantic eye roaming the beaches on its slender little legs, scaring the wits out of the sunbathers. [7]",7,バイ
貝,1,貝②,貝,"shells, oyster and clam","* When used as a primitive, in addition to shells, the meanings oyster and clam will often come in handy.",,バイ
貝,2,貞,貞,"upright, chastity, constancy, righteousness","Now take the last primitive, the shellfish, and set a magic wand over it, and you have the kanji for upright. After all, the clam and the oyster are incapable of walking upright. It would take a magician with his wand to pull off such a feat—which is precisely what we have in this kanji. [9]",9,テイ
貝,3,員,員,"employee, member, number, the one in charge","How do we get a mouth over a shellfish to mean an employee? Simple. Just remember the advice new employees get about keeping their mouths shut and doing their job, and then make that more graphic by picturing an office building full of white-collar workers scurrying around with clams pinched to their mouths. [10]",10,イン
貝,4,負,負,"defeat, negative, -, minus, bear, owe, assume a responsibility","Above we have the condensed form of bound up, and below the familiar shellfish. Now imagine two oysters engaged in shell-to-shell combat, the one who is defeated being bound and gagged with seaweed, the victor towering triumphantly over it. The bound shellfish thus becomes the symbol for defeat. [9]",9,フ
貝,5,則,則,"rule, follow, based on, model after","The character depicts a clam alongside a great and flashing sabre. Think of digging for clams in an area where there are gaming rules governing how large a find has to be before you can keep it. So you take your trusty sabre, which you have carefully notched like a yardstick, crack open a clam and then measure the poor little beastie to see if it is as long as the rules say it has to be. [9]",9,ソク
貝,6,唄,唄,"song, ballad",Mouth . . . shells. [10],10,バイ
貝,7,貯,貯,"savings, store, lay in, keep, wear mustache","To avoid confusing this frame with the last one, try to think of savings as actual money. The only difference is that our currency is not paper bills but shells, a not uncommon unit of exchange in older civilizations. The nail under the roof of the house points to a hiding place in the rafters on which one strings up one’s shells for safekeeping. [12]",12,チョ
貝,7,貝③,貝,,,,
貢,1,貢①,貢,"tribute, support, finance",A tribute has a kind of double-meaning in English: honor paid freely and money collected by coercion. Simply because a ruler bestows a noble name on a deed is hardly any consolation to the masses who must part with their hard-earned money. Little wonder that this ancient craft of getting money by calling it a tribute has given way to a name closer to how it feels to those who pay it: a tax. [10],10,コウ、 ク
貢,2,項,項,"paragraph, nape of neck, clause, item, term (expression)","To the right we see a head and to the left an element that means craft. When we think of a paragraph, we immediately think of a heading device to break a text into parts. (Think of the elabourate heads often seen at the start of medieval manuscripts and the task becomes easier still.) Just where and how to do it belongs to the writer’s craft. Hence, we define paragraphing as the “heading craft” to remember this character. [12]",12,コウ
貢,2,貢②,貢,,,,
頁,1,頁①,頁,"page, leaf","What we have to do here is turn a shellfish into a page of a book. The one at the top tells us that we only get a rather short book, in fact only one page. Imagine a title printed on the shell of an oyster, let us say “Pearl of Wisdom,” and then open the quaint book to its one and only page, on which you find a single, radiant drop of wisdom, one of the masterpiece poems of nature. [9]",9,
頁,1,頁②,頁,head,"* as a primitive, this kanji takes the unrelated meaning of a head (preferably one detached from its body), derived from the character for head (frame 1441).",,
頁,2,頂,頂,"place on the head, receive, top of head, top, summit, peak","The key word is actually a formal metaphor meaning “humble acceptance.” Reading off the two primitive elements in the order of their writing, we have: nail . . . head. As in “hitting the nail on the head.” Now one presumes that most people can handle metaphors, but if you were to run into a dimwit working in a hardware store who only knew the literal meaning of things, and were to ask him, in your best Japanese, to place on your head a nail, he might miss the point and cause you considerable torment. [11]",11,チョウ
頁,3,頑,頑,"stubborn, foolish, firmly","This character refers to the blockheaded, persistent stubbornness of one who sticks to an idea or a plan just the way it was at the beginning, without letting anything that comes up along the way alter things in the least. The explanation makes “sense,” but is hard to remember because the word “beginning” is too abstract. Back up to the image we used two frames ago— Adam and Eve in their Eden—and try again: The root of all stubbornness goes back to the beginning, with two brothers each stubbornly defending his own way of life and asking their God to bless it favourably. Abel stuck to agriculture, Cain to animalraising. Picture these two with their giant, swelled heads, each vying for the favours of heaven, a stubborn grimace on their faces. No wonder something unfortunate happened! [13]",13,ガン
頁,4,願②,願,"petition, request, vow, wish, hope","A meadow and a head are all we are given to work with in the kanji for petition. Since the key word already suggests something like a formal request made of some higher power, let us imagine a gigantic Wizard-of-Oz head located in the middle of the flowery meadow we used in the last frame. Then just picture people kneeling hopefully before it, petitioning for whatever it is they want. (The scarecrow wanted brains, the lion, courage, and the tin man a heart. What about you?) [19]",19,ガン
頁,5,類,類,"sort, kind, variety, class, genus",Rice . . . St. Bernard dog . . . head. [18],18,ルイ
頁,6,煩①,煩,"anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome","The existential condition of anxiety that arises from the inevitable frustration of our worldly passions is contained in this character. The head is set afire, causing deep torment of spirit (and a whopper of a headache). [13]",13,ハン、 ボン
頁,7,頒①,頒,"distribute, disseminate, partition, understand",Part . . . head. [13],13,ハン
頁,8,額①,額,"forehead, tablet, plaque, framed picture, sum, amount, volume","Out of respect, you do not look straight into the eyes of your guest, but look at the top button of their collar. Here, however, you are told to look above the eyes to the forehead of your guest. [18]",18,ガク
頁,9,頬①,頬,"cheeks, jaw",Scissors . . . head. [15],15,キョウ
頁,9,頁③,頁,,,,
,2,具,具,"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture","Here is the full kanji on which the last frame is based. If you can think of a table full of carpenter’s tools of all sorts, each equipped with its own eye so that it can keep a watch over what you are doing with it, you won’t have trouble later keeping the primitive and the kanji apart. [8]",8,グ
,3,真,真,"true, reality, Buddhist sect",Needle . . . tool. [10],10,シン
冥,1,冥①,冥,dark,Crown . . . day . . . six. [10],10,メイ、 ミョウ
冥,2,幎,幎,,,,
冥,3,溟,溟,,,,
冥,4,暝,暝,,,,
冥,5,榠,榠,,,,
冥,6,瞑,瞑,,,,
冥,7,螟,螟,,,,
冥,7,冥②,冥,,,,
呉,1,呉①,呉,"give, do something for, kingdom of Wu","The complex of strokes in this kanji is unusual and difficult, because of the fourth stroke, which is rare (see frames 33 and 34). The mouth and tool are already familiar. [7]",7,ゴ
呉,2,娯,娯,"recreation, pleasure",Woman . . . give. [10],10,ゴ
呉,3,誤,誤,"mistake, err, do wrong, mislead",Words . . . give. [14],14,ゴ
呉,3,呉②,呉,,,,
儿,1,儿①,儿,human legs,"* human legs # Notice how these human legs are somewhat shapelier and more highly evolved than those of the so-called “lower animals.” The one on the left, drawn first, is straight; while the one on the right bends gracefully and ends with a hook. Though they are not likely to suggest the legs of any human you know, they do have something of the look of someone out for a stroll, especially if you compare them to animal legs. If you had any trouble with the kanji for the number four, now would be the time to return to it (frame 4). [2]",2,
儿,2,見,見,"see, hopes, chances, idea, opinion, look at, visible","The elements that compose the character for see are the eye firmly fixed to a pair of human legs. Surely, somewhere in your experience, there is a vivid image just waiting to be dragged up to help you remember this character…. [7]",7,ケン
儿,3,児,児,"newborn babe, child, young of animals","The top part of the kanji in this frame, you will remember, is the character for olden times, those days so old they needed a walking stick to get around. Western mythical imagination has old “Father Time” leaning on his sickle with a newborn babe crawling around his legs, the idea being that the circle of birthanddeath goes on. Incidentally, this is the only time in this book that the kanji for olden times will appear as a primitive element in another kanji, so try to make the most of it. [7]",7,ジ、ニ、ゲイ
儿,3,儿②,儿,,,,
元,1,元①,元,"beginning, former time, origin","“In the beginning…” starts that marvellous shelf of books we call the Bible. It talks about how all things were made, and tells us that when the Creator came to humanity, she made two of them, man and woman. While we presume, she made two of every other animal as well, we are not told as much. Hence two and a pair of human legs come to mean beginning. [4]",4,ゲン、ガン
元,2,玩,玩,"play, take pleasure in, trifle with, make sport of",King . . . beginning. [8],8,ガン
元,2,元②,元,,,,
罙,1,罙①,罙,paper punch,"* paper punch † This primitive simply discards the first stroke of that for hole to become a paper punch. When found at the top of its relative primitive, it undergoes the same change, the eight becoming human legs (see frame 1316). [4]",4,
罙,2,探,探,"grope, search, look for",Fingers . . . paper punch . . . tree. [11],11,
罙,3,深,深,"deep, heighten, intensify, strengthen",Water . . . paper punch . . . tree. [11],11,
罙,3,罙②,罙,,,,
尤,1,尤①,尤,"reasonable, just, natural, superb",,,
尤,2,就,就,"concerning, settle, take position, depart, study, per",Capital . . . superb. [12],12,
尤,3,蹴①,蹴,kick,Legs . . . Take position. [19],19,シュク、 シュウ
尤,3,尤②,尤,,,,
沈,1,沈①,沈,"sink, be submerged, subside, be depressed, aloes","The technique for sinking used in this kanji is unique. Rather than the biblical image of tying a millstone about the victim’s neck, here we see a crown tied about one leg before the unfortunate party is tossed into the water. [7]",7,チン、ジン
沈,2,枕,枕,pillow,Tree . . . Neck crown. [8] neck crown resting on tree,8,チン、 シン
沈,2,沈②,沈,,,,
凵,1,凵①,凵,shovel,"* shovel Ô This enclosure—which embraces its relative primitive from the bottom—is a pictograph of the scoop of a shovel. When room permits, the arms are extended upwards to nearly the same height as the relative element it holds. [2]",2,
凵,2,画,画,"brush-stroke, picture","In forming an image for the key word, it is helpful to know that this kanji is used for artistic representations such as completed paintings, as well as for the number of brush-strokes in a character (as, for instance, in Indexes ii and iii at the end of this book). Its elements are: ceiling . . . sprout . . . shovel. [8]",8,ガ、カク、エ、カイ
凵,3,歯,歯,"tooth, cog",Footprint . . . rice . . . shovel. [12],12,シ
凵,4,噛,噛,,,,
凵,5,齢①,齢,age,This character is used to express the years of one’s age. Its elements: teeth . . . orders. [17],17,
凵,5,凵②,凵,,,,
齒,1,齒①,齒,,,,
齒,2,齔,齔,,,,
齒,3,齟①,齟,,,,
齒,4,齠,齠,,,,
齒,5,齡,齡,,,,
齒,6,齣,齣,,,,
齒,7,齦,齦,,,,
齒,8,齧,齧,,,,
齒,9,齪,齪,,,,
齒,10,齬②,齬,,,,
齒,11,齲,齲,,,,
齒,12,齶,齶,,,,
齒,13,齷①,齷,,,,
齒,14,囓,囓,,,,
齒,14,齒②,齒,,,,
両,1,両①,両,"both, old Japanese coin, counter for carriages (e.g., in a train), two",Spike . . . belt . . . shovel. Note that the writing order follows the order in which the primitives are given here. [6],6,リョウ
両,2,満,満,"full, fullness, enough, satisfy","Water . . . flowers . . . both. Given the abstract nature of this last primitive, you may want to borrow the image from the previous frame. [12]",12,マン、バン
両,2,両②,両,,,,
甘,1,甘①,甘,"sweet, coax, pamper, be content, sugary","This kanji is a pictograph of a small wicker basket. (The extra short stroke in the middle helps keep it distinct from the character for twenty.) All one needs to add is some image of sweet cakes or breads carried in the basket, and the union of picture and meaning is complete. Take care not to confuse with candy (frame 1122). [5]",5,カン
甘,1,甘②,甘,"a wicker basket is used, a small one like the kind used for picnics.","* as a primitive, the pictograph’s meaning of a wicker basket is used, a small one like the kind used for picnics.",,カン
甘,2,紺,紺,"dark blue, navy",Thread . . . wicker basket. [11],11,コン
甘,2,甘③,甘,,,,
某,1,某①,某,"so-and-so, one, a certain, that person",The key word here refers to the adjective for an unspecified person or thing. Its elements: wicker basket . . . tree. [9],9,ボウ
某,2,謀,謀,"conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive",Words . . . so-and-so. [16],16,ボウ、 ム
某,3,媒,媒,"mediator, go-between",Woman . . . so-and-so. [12],12,バイ
某,3,某②,某,,,,
其,1,其①,其,bushel basket,"* bushel basket ¤ As the two legs at the bottom suggest, this bushel basket is a large container, standing on the floor. Its first four strokes indicate that it is made of wicker, much like the small wicker basket treated immediately above. To put something inside of the bushel basket, the legs at the bottom are attached to the final horizontal stroke and extended to make a kind of enclosure. [8]",8,
其,2,棋,棋,"chess piece, Japanese chess, shogi",Tree . . . bushel basket. [12],12,キ
其,3,旗,旗,"national flag, banner, standard",Banner . . . bushel basket. [14],14,キ
其,4,期②,期,"period, time, date, term","Bushel basket . . . month. As the month indicates, this has to do with periods of time. [12]4",12,キ、ゴ
其,5,碁,碁,Go,Bushel basket . . . stones. The key word refers to the Japanese game played with black and white coloured stones on a lined board. [13],13,ゴ
其,6,惧,惧,"fear, be afraid of, dread",State of mind . . . bushel basket. [14],14,ク、 グ
其,7,基,基,"fundamentals, radical (chem), counter for machines, foundation",Bushel basket . . . soil. [11],11,キ
其,7,其②,其,,,,
欺,1,欺①,欺,"deceit, cheat, delude",Bushel basket . . . yawn. [12],12,
欺,2,嵌,嵌,,,,
欺,3,篏,篏,,,,
欺,3,欺②,欺,,,,
甚,1,甚①,甚,"tremendously, very, great, exceedingly","Bushel basket . . . equal. Note how the first stroke of equal doubles up with the sixth stroke of the bushel basket, and how the animal legs of the bushel basket are dropped to make room for the human legs of equal. [9]",9,ジン
甚,2,勘,勘,"intuition, perception, check, compare, sixth sense",Tremendously . . . muscle. [11],11,カン
甚,3,堪,堪,"withstand, endure, support, resist",Soil . . . tremendously. [12],12,カン、 タン
甚,3,甚②,甚,,,,
且,1,且①,且,"moreover, also, furthermore",[5],5,ショ、 ソ、 ショウ
且,1,且②,且,shelf,"* shelf Õ The pictographic representation in the primitive shown here is a small stand with horizontal shelves. Thus we give it the general meaning of a shelf. It differs from the kanji and primitive for an eye only in its final stroke, which extends beyond the two vertical strokes at both ends. Think of it as a shelf for special keepsakes or a glass bureau for knickknacks, keeping it distinct from the kanji we learned in frame 202. [5]",5,ショ、 ソ、 ショウ
且,2,狙①,狙,"aim at, sight, shadow, stalk",A pack of wild dogs . . . shelf. [11],11,
且,3,姐,姐,,,,
且,4,沮,沮,,,,
且,5,徂,徂,,,,
且,6,岨,岨,,,,
且,7,咀,咀,,,,
且,8,祖,祖,"ancestor, pioneer, founder",Altar . . . shelf. [9],9,
且,9,爼,爼,,,,
且,10,柤,柤,,,,
且,11,俎,俎,,,,
且,12,租,租,"tariff, crop tax, borrowing",Wheat . . . shelf. [10],10,
且,13,砠,砠,,,,
且,14,組,組,"association, braid, plait, construct, assemble, unite, cooperate, grapple",Thread . . . shelf. [11],11,
且,15,粗,粗,"coarse, rough, rugged",Rice . . . shelf. [11],11,ソ
且,16,蛆,蛆,,,,
且,17,詛,詛,,,,
且,18,齟②,齟,,,,
且,18,且③,且,,,,
且,1,且④,且,"moreover, also, furthermore",[5],5,
且,1,且⑤,且,shelf,"* shelf Õ The pictographic representation in the primitive shown here is a small stand with horizontal shelves. Thus we give it the general meaning of a shelf. It differs from the kanji and primitive for an eye only in its final stroke, which extends beyond the two vertical strokes at both ends. Think of it as a shelf for special keepsakes or a glass bureau for knickknacks, keeping it distinct from the kanji we learned in frame 202. [5]",5,
且,1,且⑥,且,,,,
且,1,且⑦,且,,,,
且,2,阻,阻,"thwart, separate from, prevent, obstruct, deter, impede",Pinnacle . . . shelf. [8],8,ソ
且,3,査,査,investigate,Tree . . . shelf. [9],9,サ
且,3,且⑧,且,,,,
且,3,且⑨,且,,,,
且,4,助,助,"help, rescue, assist","Shelf . . . power. The reason why the shelf appears on the left here is that the right side is the normal position for power, the stronger primitive. Indeed, the only exception in all the kanji is the character for add (frame 867). [7]",7,ジョ
且,5,宜,宜,"best regards, good","This kanji, a polite way of expressing one’s best regards to another. Its elements: house . . . shelf. [8]",8,ギ
且,6,畳,畳,"tatami mat, counter for tatami mats, fold, shut up, do away with",Rice field . . . crown . . . shelf. [12],12,ジョウ、チョウ
且,6,且⑩,且,,,,
⼏,2,凡,凡,"commonplace, ordinary, mediocre","While we refer to something insignificant as a “drop in the bucket,” the kanji for mediocre suggests the image of a “drop in the wind.” [3]",3,ボン、 ハン
⼏,3,汎,汎,pan-,Water . . . missile. [6],6,ハン、 ブ、 フウ、 ホウ、 ホン
⼏,4,肌,肌,"texture, skin, body, grain","Ever notice how the texture of your face and hands is affected by the wind? A day’s skiing or sailing makes them rough and dry, and in need of a good soft cream to soothe the burn. So whenever a part of the body gets exposed to the wind, its texture is affected. (If it is any help, the Latin word hiding inside texture connotes how something is “to the touch.”) [6]",6,キ
⼏,5,処①,処,"dispose, manage, deal with, sentence, condemn, act, behave, place","Both the stretching out of the walking legs and the little bit of wind tucked in on the right suggest using one’s legs to kick something out of the way, or dispose of it. [5]",5,ショ
殳,1,殳①,殳,"missile,  something thrown as a weapon.","* missile r Although modern connotations are more suggestive, this primitive simply refers to something thrown as a weapon. Its elements: wind . . . crotch. [4]",4,
殳,2,役,役,"duty, war, campaign, drafted labour, office, service, role",Going . . . missile. [7],7,ヤク、エキ
殳,3,疫,疫,epidemic,Sickness . . . missile. [9],9,エキ、ヤク
殳,4,投,投,"throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss",Fingers . . . missile. [7],7,トウ
殳,5,没,没,"drown, sink, hide, fall into, disappear, die",Water . . . missile. [7],7,ボツ、 モツ
殳,6,設,設,"establishment, provision, prepare",Words . . . missile. [11],11,セツ
殳,7,殴①,殴,"assault, hit, beat, thrash",Ward . . . missile. [8],8,オウ
殳,8,股,股,"thigh, crotch",Flesh . . . missile. [8],8,コ
殳,9,毀①,毀,"break, destroy, censure, be chipped, be scratched, be broken, be ruined",Morter . . . ground . . . . Missile [13],13,キ
殳,10,撃①,撃,"beat, attack, defeat, conquer",Car . . . missile . . . hand. [15],15,ゲキ
殳,11,殼①,殼,"husk, nut shell",Samurai . . . superfluous . . . missile. [11],11,
殳,11,殳②,殳,,,,
撃,1,撃②,撃,"beat, attack, defeat, conquer",Car . . . missile . . . hand. [15],15,
撃,2,繋,繋,,,,
撃,2,撃③,撃,,,,
丹,1,丹①,丹,"rust-coloured, red, red lead, pills, sincerity",[4],4,タン
丹,1,丹②,丹,,,,
舟,1,舟①,舟,"boat, ship","After the drop and the glass canopy, we come to a combination of three strokes that we met only once before, in the character for mama (frame 101). The pictographic meaning we gave it there has no etymological relationship to this character, but use it if it helps. [6]",6,シュウ
舟,2,舶,舶,"liner, ship",The type of boat connoted by this key word is a large oceangoing liner. The important thing here is to work with the elements boat and dove to make an image distinct from that of the former frame. Don’t count on size alone to distinguish the boat from the liner. [11],11,ハク
舟,3,航,航,"navigate, sail, cruise, fly",Boat . . . whirlwind. [10],10,コウ
舟,4,船,船,"ship, boat",Boat . . . gully. [11],11,セン
舟,5,艦,艦,warship,Boat . . . oversee. [21],21,カン
舟,6,艇,艇,"rowboat, small boat",Boat . . . courts. [13],13,テイ
舟,6,舟②,舟,,,,
般,1,般①,般,"carrier, carry, all, general, sort, kind",Boat . . . missile. [10],10,ハン
般,2,盤,盤,"tray, shallow bowl, platter, tub, board, phonograph record",Carrier . . . dish. [15],15,バン
般,3,搬,搬,"conveyor, carry, transport",Fingers . . . carrier. [13],13,ハン
般,3,般②,般,,,,
⼓,2,句,句,"phrase, clause, sentence, passage, paragraph, counter for haiku","By combining the two primitives bound up and mouth, we can easily see how this character can get the meaning of a phrase. After all, a phrase is nothing more than a number of words bound up tightly and neatly so that they will fit in your mouth. [5]",5,ク
⼓,3,苟,苟,"any, at all, in the least",Grass . . . phrase. [6],6,
⼓,4,匁,匁,"monme, 3.75 grams, (kokuji)","This character obliges us once again to make use of a Japanese key word for want of an English equivalent. It refers to an old unit of weight, equal to about 3.75 grams. The word is only slightly more useful in modern Japanese than cubits and kites are in modern English. Its primitives, if you look closely, are: bound up . . . arm. [4]",4,
⼓,5,匂②,匂,"fragrant, stink, glow, insinuate, (kokuji)",Bound up… someone sitting on the ground [4],4,
⼓,6,旬,旬,"decameron, ten-day period, season (for specific products)","There simply is not a good phrase in English for the block of ten days which this character represents. So we resurrect the classical phrase, decameron, whose connotations the tales of Boccaccio have done much to enrich. Actually, it refers to a journey of ten days taken by a band of people—that is, a group of people bound together for the days of the decameron. [6]",6,ジュン、 シュン
⼓,7,勾①,勾,"be bent, slope, capture",Bound up… elbow [4],4,コウ、 ク
勺,1,勺①,勺,"ladle, one tenth of a go, dip","If you want to bind up drops of anything—water, soup, lemonade— you use something to scoop these drops up, which is what we call a ladle. See the last drop left inside the ladle? [3]",3,シャク
勺,2,妁,妁,,,,
勺,3,灼,灼,,,,
勺,4,杓,杓,,,,
勺,5,的,的,"bull's eye, mark, target, object, adjective ending","The elements white bird and ladle easily suggest the image of a bull’s eye if you imagine a rusty old ladle with a bull’s eye painted on it in the form of a tiny white bird, who lets out a little “peep” every time you hit the target. [8]",8,
勺,6,約,約,"promise, approximately, shrink","Consider for a moment the etymology of the word “promise” in order to notice its roots in the activity of putting one thing (e.g., one’s word of honor) in place of another (e.g., the fulfilment of a task). For as it turns out, this character also means “to abridge, economize, and abbreviate”—all activities that involve putting one thing in place of another. With that in mind, we may now work with the elements: thread . . . ladle. [9]",9,
勺,7,豹,豹,,,,
勺,8,酌①,酌,"bar-tending, serving sake, the host, draw (water), ladle, scoop, pump",Whiskey bottle . . . ladle. [10],10,
勺,9,釣,釣,"angling, fish, catch, allure, ensnare","The character we learned for fishing (frame 172) refers to the professional, net-casting industry, while the angling of this character refers to the sport. The odd thing is that your angling rod is a golden ladle which you are using to scoop goldfish out of a river. [11]",11,
勺,9,勺②,勺,,,,
掬,1,掬①,掬,,,,
掬,2,椈,椈,,,,
掬,3,麹,麹,,,,
掬,4,鞠,鞠,,,,
掬,5,菊,菊,chrysanthemum,Flower . . . bound up . . . rice. [11],11,キク
掬,5,掬②,掬,,,,
芻,1,芻①,芻,,,,
芻,2,鄒,鄒,,,,
芻,3,皺,皺,,,,
芻,4,雛,雛,,,,
芻,4,芻②,芻,,,,
⼞,2,曰,曰,"say, reason, pretext, history, past, flat sun radical (no. 73)","Pent in . . . one. The key word refers to famous sayings of famous people, and is the origin for the primitive meaning of a tongue wagging in the mouth that we learned in frame 12. The size of this kanji, a relatively rare one, is what distinguishes it from day. [4]",4,
⼞,3,困,困,"quandary, become distressed, annoyed",Pent in . . . trees. [7],7,コン
⼞,4,団,団,"group, association",Glued . . . pent in. [6],6,ダン、トン
⼞,5,園,園,"park, garden, yard, farm",Pent in . . . lidded crock . . . scarf. [13],13,エン
⼞,6,回,回,"-times, round, game, revolve, counter for occurrences",The suffix “-times” refers to a number of repetitions. Its elements: a mouth . . . pent in. Hint: you may find it more helpful to forget the primitives and think of one circle revolving inside of another. [6],6,カイ、エ
⼞,7,壇,壇,"podium, stage, rostrum, terrace","Soil/ground . . . top hat . . . -times . . . nightbreak. With kanji as difficult as this one, it generally pays to toy with the various connotations of its primitives before settling on one image. Aim for as much simplicity as you can. [16]",16,ダン、タン
⼞,8,囚,囚,"captured, criminal, arrest, catch",Person . . . pent in. [5],5,シュウ
固,1,固①,固,"harden, set, clot, curdle",Old . . . pent in. Leave the people out of your story to avoid complications later when we add the element for person to form a new kanji (frame 973). [8],8,
固,2,個,個,"individual, counter for articles",Person . . . harden. [10],10,
固,3,凅,凅,,,,
固,4,涸,涸,,,,
固,5,痼,痼,,,,
固,6,箇,箇,counter for articles,Bamboo . . . harden. [14],14,
固,7,錮,錮,,,,
固,7,固②,固,,,,
因,1,因①,因,"cause, factor, be associated with, depend on, be limited to",St. Bernard dog . . . pent in. [6],6,イン
因,2,姻,姻,"matrimony, marry","Woman . . . cause. Think here of the “state of matrimony” and you will not confuse it with other characters involving marriage, one of which we have already met (frame 542). [9]",9,イン
因,3,咽,咽,"throat, choked, smothered, stuffy",Mouth . . . cause. [9],9,イン、 エン、 エツ
因,3,因②,因,,,,
玉,1,玉①,玉,"jewel, ball",,,
玉,2,宝,宝,,,,
玉,3,筺,筺,,,,
玉,4,閠,閠,,,,
玉,4,玉②,玉,,,,
国,1,国①,国,country,Jewels . . . pent in. [8],8,
国,2,掴,掴,,,,
国,3,椢,椢,,,,
国,3,国②,国,,,,
冂,1,冂①,冂,hood,"* hood · In addition to the basic meaning of hood, this shape can be used for a glass cover, such as that used to serve “pheasant under glass.” Note its difference from the element for wind: the second stroke is hooked inwards here. To help remember this detail, think of the wind as blowing “out” and a glass canopy as keeping something “in.” Among the related images suggested by this primitive are: a monk’s cowl, a riding hood, a helmet, and an automobile hood. [2]",2,
冂,2,同①,同,"same, agree, equal","The primitives in this kanji show us one and mouth under a hood. Let us take the key word to connote the sameness that characterizes the life in community of the monk. They all have the same habits, including the “habit” they wear on their backs. Here we see the monk’s cowl, drawn down over the eyes so that all you can see when you look at him is a mouth. But since monks also speak their prayers in common, it is but a short step to think of one mouth under a hood as the kanji for the sameness of monastic life. [6]",6,ドウ
冂,2,同②,同,monks,"* as a primitive, this will mean monks dressed in a common habit.",,ドウ
冂,3,洞,洞,"den, cave, excavation","The key word den refers to an animal lair hollowed out in the side of a mountain. Now if we keep to the image of the monastic life as an image for same, we can picture a den of wild beasts dressed up in habits and living the common life in a mountain cavern. To bring in the element of water we need only give them a sacred “puddle” in the Centre of their den, the focus of all their pious attentions. [9]",9,ドウ
冂,4,胴,胴,"trunk, torso, hull (ship), hub of wheel","The word trunk refers to the part of the body that is left when you have “truncated” all the limbs. I can hardly think of any reason for doing so, unless one were lumberjacking corpses and needed to have them all properly pruned and made the same so they could be floated downstream without causing a body-jam. [10]",10,ドウ
冂,5,向,向,"yonder, facing, beyond, confront, defy, tend toward, approach","Something referred to as “over yonder” is usually far off in the distance and barely within sight—like a wee drop in the distance— and is usually an expression used in giving directions or pointing something out. Hence this kanji begins with a drop. Then we find a sort of transparent helmet with no eyes or nose, but only a prominent mouth under it, obviously an extra-terrestrial. And what is it jabbering on about with its mouth open like that? Why, about his spaceship way over yonder with its fuel tank on empty. [6]",6,コウ
冂,6,尚,尚,"esteem, furthermore, still, yet","Above we see the primitive for little attached to one of those glass canopies you might use to display a family heirloom. The littleness is important, because what is in fact on display is the shrunken, stuffed, and mounted mouth of an esteemed ancestor. We may be used to esteeming the words our forebears leave behind, but here we also esteem the very mouth that spoke them. I leave it to you to imagine a suitable place in your room for displaying such an unusual conversation piece. [8]",8,ショウ
冂,6,冂②,冂,,,,
爾,1,爾①,爾,"you, thou, second person",Glass canopy . . . flower. It is most rare to see the flower come under its relative element. Note how it is straightened out to fill the space available. [5],5,
爾,2,璽,璽,emperor's seal,You . . . jewel. [19],19,ジ
爾,2,爾②,爾,,,,
𠕁,1,𠕁①,𠕁,scrapbook,Glass canopy . . . flower. It is most rare to see the flower come under its relative element. Note how it is straightened out to fill the space available. [5],5,
𠕁,2,論,論,"argument, discourse","Words . . . meeting . . . scrapbook. The argument connoted by the key word is a process of academic reasoning, not a personal quarrel or spat. [15]",15,ロン
𠕁,3,倫,倫,"ethics, companion",Person . . . meeting . . . scrapbook. [10],10,リン
𠕁,4,輪,輪,"wheel, ring, circle, link, loop, counter for wheels and flowers",Car . . . meeting . . . scrapbook. [15],15,リン
𠕁,5,典,典,"code, ceremony, law, rule","We introduce this character here because of its connection to the book-related kanji treated above. It is based on the character for bend (frame 1172), whose last stroke is lengthened to coincide with the first stroke of the element for tool. [8]",8,テン、デン
𠕁,5,𠕁②,𠕁,,,,
扁,1,扁①,扁,"level, small",Door . . . scrapbook. [9],9,ヘン
扁,2,偏,偏,"partial, side, left-side radical, inclining, biased",Person . . . door . . . scrapbook. [11],11,ヘン
扁,3,遍,遍,"everywhere, times, widely, generally",Door . . . scrapbook . . . a road. [12],12,ヘン
扁,4,褊,褊,,,,
扁,5,篇,篇,,,,
扁,6,蝙,蝙,,,,
扁,7,諞,諞,,,,
扁,8,騙,騙,,,,
扁,9,編,編,"compilation, knit, plait, braid, twist, editing, completed poem, part of a book",Thread . . . door . . . scrapbook. [15],15,ヘン
扁,10,翩,翩,,,,
扁,10,扁②,扁,,,,
冊,1,冊①,冊,"tome, counter for books, volume",This key word is a counter for books. It differs from scrapbook both in the writing order and in the extension of the second horizontal stroke. [5],5,サツ、サク
冊,2,柵,柵,"stockade, fence, weir, entwine around",Tree . . . tome. [9],9,サク、 サン
冊,2,冊②,冊,,,,
匚,1,匚①,匚,box,"* box 1 This enclosure, open at the right, represents a box lying on its side. When it is not used as an enclosure, its form is cramped to look like this: ». You may distinguish its meaning by picturing it then as a very small box. [2]",2,
匚,2,匹,匹,"equal, head, counter for small animals, roll of cloth",Box . . . human legs. [4],4,
匚,3,区,区,,,,
