group_number,group_kanji,group_meaning,group_story,onyomi
192,曷,siesta,"* siesta K Conjure up the classic portrait of the Latin siesta: a muchacho sitting on the ground, propped up against some building, bound up from neck to ankles in a serape, one of those great, broadrimmed mariachi hats pulled down over his face, and the noonday sun beating down overhead. Always use the complete image, never simply the general sense of siesta. [8]",
193,片,"one-sided, leaf, sheet, right-side kata radical (no. 91)","This kanji is based on the pictograph of a tree with some branches going upwards and others hanging down, split right down the middle. When that picture’s right side is isolated, it becomes the kanji for one-sided, in the sense of only one part of a whole. [4]",ヘン
194,爿,"one-sided, leaf, sheet, right-side kata radical (no. 91)","This kanji is based on the pictograph of a tree with some branches going upwards and others hanging down, split right down the middle. When that picture’s right side is isolated, it becomes the kanji for one-sided, in the sense of only one part of a whole. [4]",
195,𠂇,by your side,"* by one’s side * This primitive has the look of ten, except that the left stroke is bent down toward the left. It indicates where your hands (your ten fingers) fall when you let them droop: by your side. The stroke order of this character can be reversed; but whichever stroke is written second, that stroke should be drawn longer than the other. The difference is slight, and all but unnoticeable in printed characters, but should be learned all the same. [2]",
196,有,"possess, have, exist, happen, occur, approx.","The picture here is of someone with a slab of meat dangling by the side, perhaps from a belt or rope tied around the waist. Think of it as an evil spirit in possession of one’s soul, who can be exorcized only by allowing fresh meat to hang by one’s side until it begins to putrefy and stink so bad that the demon departs. Take careful note of the stroke order. [6]",ユウ、ウ
197,石,stone or rocks of any size or shape,"* The stone is a quite common primitive element, which is not restricted to great boulders but used of stones or rocks of any size or shape.",セキ、シャク、コク
198,了,"complete, finish","Learn this character by returning to frame 95 and the image given there. The only difference is that the “arms” have been left off (actually, only tucked inside). Thus a child with its arms wrapped up into the back-sack is the picture of a job successfully completed. [2]",リョウ
199,子,child (who can run and get into more mischief),"* as a primitive, the meaning of child is retained, though you might imagine a little older child, able to run around and get into more mischief.",シ、ス、ツ
200,孛,"comet, dark, obscure",Sand . . . child. [7],
201,疐,"fall, stumble, falter, hindered",Sand . . . Just so. [14],
202,人,person,"* as a primitive, it can keep its kanji form except when it appears to the left (its normal position), where it is made to stand up in the form l. The primitive meaning is another matter. The abstract notion of person so often has a relation to the meaning of the kanji that confusion readily sets in. So many of the previous stories have included people in them that simply to use person for a primitive meaning would be risky. We need to be more specific, to focus on one particular person. Try to choose someone who has not figured in the stories so far, perhaps a colourful member of the family or a friend whom you have known for a long time. That individual will appear again and again, so be sure to choose someone who excites your imagination.",ジン、ニン
203,付,"adhere, attach, refer to, append",Person . . . glue. The few cases in which this character serves as a primitive should include some connotation of “adhering to” that distinguishes it from “glued to.” Two examples follow. [5],フ
204,府,"borough, urban prefecture, govt office, representative body, storehouse",Cave . . . adhere. [8],フ
205,代,"substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee",Person . . . arrow. [5],ダイ、タイ
206,化,"change, take the form of, influence, enchant, delude, -ization",Person . . . spoon. [4],カ、ケ
207,何,what,Person . . . can. [7],カ
208,巫,,,
209,女,woman,* The primitive meaning is the same: woman.,ジョ、ニョ、ニョウ
210,母,mother,"* as a primitive we shall add the meaning of breasts in accord with the explanation given above. Take careful note of the fact that the form is altered slightly when this kanji serves as a primitive, the final two dots joining together to form a longer stroke. An example follows in the next frame.",ボ
211,父,father,The kindness and hard work of the ideal father is seen in this abbreviation of the taskmaster that leaves off his rod or whip (the first stroke) and replaces it with the sweat of the father’s brow (the two drops at the top). [4],フ
213,交,"mingle, mixing, association, coming & going",Top hat . . . father. [6],
214,文,plaid,"* The primitive meaning for this character will be plaid, the familiar crisscross pattern frequently used in textiles.",ブン、モン
216,斉,"adjusted, alike, equal, similar variety of",Plaid . . . fenceposts . . . two. Do not confuse with just so (frame 388). [8],セイ、 サイ
217,兄,teenager,"* as a primitive this character will take the meaning of teenager, in accord with the familiar image of the big mouth and the gangling, clumsy legs.",ケイ、キョウ
218,夫,"husband, man",The kanji for a husband or “head of the family” is based on the kanji for large and an extra line near the top for the “head.” Do not confuse with heavens (frame 428). [4],フ、フウ、ブ
219,失,"lose, to drop","* as a primitive, this character can also mean to drop.",シツ
220,夹,scissors (husband + two extra strokes),* scissors „ This primitive is based on that for husband. The two extra strokes represent a pair of scissors he is carrying around. [6],
221,氏,,,
222,氐,calling card,* calling card O Family name . . . floor. [5],
223,民,"people, nation, subjects","In place of the drop at the start of the character for family name, we have a mouth, which makes you think of the “vox populi.” [5]",ミン
224,从,assembly line,* assembly line @ The duplication of the kanji for person gives us this primitive for assembly line. Perhaps you can imagine clones of your chosen person rolling off an assembly line in a factory. [4],
225,從,,,
226,内,"inside, within, between, among, house, home","Person . . belt. Note that we cannot use the primitive meaning of hood here because the person runs through the element, not under it. [4]",ナイ、ダイ
227,久,"long time, old story","This character uses the diagonal sweep of the second stroke to double up for bound up and a person. Think of a mummy, and the key word will not be far behind. [3]",キュウ、ク
228,彳,"this character has two forms.

Reduced to the left side only, ‹ it can mean a column going, or a line of something or other.","column going, or a line of something",
229,行①,"going, journey, carry out, conduct, act, line, row, bank","By joining the top four strokes, you should get a picture of the front current of a river, the stream trailing behind. Hence the character for going. [6]",
230,行②,Boulevard,"Boulevard… a wide street in a town or city, typically one lined with trees",
231,微,"delicate, minuteness, insignificance",Line . . . mountain . . . ceiling . . . human legs . . . taskmaster. [13],
232,並,row,"* The primitive meaning remains the same as that of the kanji, but special attention has to be given to the varieties of shape this element can undergo. It is the most difficult one you will meet in this book.

When it appears beneath its relative 4primitive, the top two strokes are omitted, and the first horizontal stroke is doubled up with the bottom horizontal stroke of the element above it, wherever possible: o.

atop its relative primitive, it can keep its kanji shape. When it does not, the top three strokes are removed and all of them are replaced below the primitive’s bottom line: p. We shall acknowledge this latter transformation by changing its meaning to upside down in a row.",ヘイ、ホウ
233,普,"universal, wide(ly), generally, Prussia",Row . . . sun. [12],フ
234,業,"business, vocation, arts, performance",In a row upside down . . . not yet. [13],ギョウ、ゴウ
235,不,"negative, non-, bad, ugly, clumsy","You may play with the primitives of this kanji as you wish (ceiling . . . person . . . a drop of), but you will probably find that its simplicity, and its frequency, make it easy to remember just as it is. [4]",フ、ブ
236,非,jail cell,"* as a primitive, we shall draw on the explanation above for the meaning of jail cell.",ヒ
237,予,"beforehand, previous, myself, I",Think of this character as identical to the halberd (frame 1225) except that the final stroke has been omitted. Return to that character and devise some image to take this difference into account. [4],ヨ、シャ
238,矛,"halberd, arms, festival float",The halberd’s battle-ax head and long shaft are depicted here. Take care with the number and order of the strokes. [5],ム、 ボウ
239,柔,"tender, weakness, gentleness, softness",##  Halberd . . . tree. [9],
240,,"marquis, lord, daimyo",Person . . . key . . . dart. Hint: the pun suggested by the pronunciation of the key word and the primitive for key may come in helpful. [9],コウ
241,夬,guillotine,"* guillotine ° This element depicts a large, sharpened key coming down on the head of a criminal St. Bernard. [4]",
242,央,"Centre, middle","The elements depict a St. Bernard with its head and paws keeping their stick-like form, but with the middle or Centre of its body filled out in a box-like shape. [5]",オウ
243,小,"little, small","* The primitive of the same shape keeps the same meaning. Written above a horizontal line, its form is slightly altered, the last two strokes turning inwards like this: 0.",ショウ
244,少,"few, little","First, we need to look at the fourth stroke, the drop at the bottom that has been extended into a longer diagonal stroke leaning left. This happens because a single, isolated drop will never appear beneath its relative primitive in its normal size, for fear it would drop off and get lost. As for the meaning, let the tiny drop indicate a further belittling of what is already little— thus making it a few of something little. [4]",ショウ
245,尓,"you, that",,
246,⺭,"celebrate, congratulate",Altar . . . teenager. [9],シュク、シュウ
247,示,altar,"* as a primitive, The new appearance of this primitive form, Q, should be kept distinct from that for cloak, 7, identical except for the one final short stroke.",ジ、シ
248,宗,"religion, denomination, main point",House . . . altar . [8],
249,尉,"military officer, jailer, old man, rank",Flag . . . altar . . . glue. [11],イ、ジョウ
250,禁,"prohibition, ban, forbid",Grove . . . altar. [13],キン
251,祭,"ritual, offer prayers, celebrate, deify, enshrine, worship","Flesh . . . crotch . . . altar. Note how the second element is cut short, giving a tent-like effect to the character. [11]",サイ
252,⻂,"first time, beginning",The primitives here take care of themselves: cloak and dagger. What I leave to you is to decide on an appropriate connotation for “first time” to take advantage of them. [7],ショ
253,衣,"garment, cloak or scarf","* Used as a primitive, the additional meanings of cloak or scarf will come in handy. What has to be noted particularly are the changes in shape the kanji can undergo when it becomes an element in other kanji. In fact, it is the most volatile of all the kanji we shall treat, and for that reason deserves special attention here.

* When it appears to the left, it looks like this: 7, and we shall take it to mean cloak. At the bottom, when attached to the stroke immediately above it, the first two strokes (the top hat) are omitted, giving us: R, which we shall take to mean a scarf.

* On rare occasions, the element can be torn right across the middle, with the first 2 strokes appearing at the top and the last 4 at the bottom of another primitive or cluster of primitives: S, in which cases we shall speak of a top hat and scarf.

* And finally, of course, it can keep its original kanji shape, along with its original meaning of garment in general.

* Note that when any of the above forms have something beneath them (as in frame 402), the third from final stroke is “unhooked,” like this: T.",イ、エ
254,夕,evening,* The primitive keeps the same meaning and connotation as the kanji.,セキ
255,多,"many, frequent, much","“Many moons ago,” begins much of Amerindian folklore—a colourful way of saying “Once upon a time” and a great deal of help for remembering this kanji. Here we have two moons (three of them would take us back to the beginning of time, which is further than we want to go), lacking the final stroke because they are partially hidden behind the clouds of time. [6]",
256,歹,"bone, The first stroke serves to keep it distinct from the character for evening (frame 109). [4]",* bone c This character is meant to be a pictograph of a bone attached to a piece of flesh (or vice versa.) The first stroke serves to keep it distinct from the character for evening (frame 109). [4],
257,列,"file, row, rank, tier, column",Bones . . . sabre. The sense of the key word is of people or things lined up in a row. [6],レツ、レ
258,死,"death, die","Bones . . . spoon. Note how the first stroke is extended to the right, forming a sort of “roof” overhead. [6]",シ
260,山,mountain,Note the clearer outline of a triangular mountain here. [3],サン、セン
261,出,"exit, leave, go out, come out, put out, protrude",The kanji for exit pictures a series of mountain peaks coming out of the earth. Learn it together with the following frame. [5],シュツ、スイ
262,⻖,"heights, slope","This character is used for proper names, much as the English word “Heights” is. Its primitives: pinnacle . . . anti-. [7]",
263,隊,"regiment, party, company, squad",Pinnacle . . . animal horns . . . sow. [12],タイ
264,⻏,"residence, mansion",Calling card . . . city walls. [8],テイ
265,耶,,,
266,丘,"hill, knoll","Since this supposedly pictographic representation of a hill looks like anything but, picture a row of axes driven into the ground up to their heads, and see if that doesn’t present a more memorable image of hill—at least a riskier one sliding down! [5]",
268,川,"stream, river, river or three-stroke river radical (no. 47)","We have taken the image of a river stream over into English to describe things that fall down in straight lines, or ripple along in lines. All of this is more than evident in the kanji given here, a pictograph of a stream. [3]",
269,巛,"stream, flood","* as a primitive, this character adds to the meaning of stream the more vivid image of a flood. Note, however, that there are certain small changes in the writing of the element, depending on where it appears relative to other elements:
on the top, it is written 巛",
270,,"laid waste, rough, rude, wild",The flowers that perish in the flood are taken here as symbols of an area that has been laid waste. [9],コウ
271,雨,"rain, whether","* as a primitive it can mean either rain or weather in general. Because it takes so much space, it usually has to be contracted into a crown by shortening the second and third strokes into a crown like this: U.",ウ
272,冫,ice,"* ice, The condensation of the three drops we have been using to mean water into two drops signals the solidifying of water into ice. Note that when this primitive appears to the left, it is written like the last two strokes of the element for water, Å, whereas under another primitive, it is written like the first two strokes of the water primitive: V. [2]",
273,,"bases, fort, rampart, walls, base(ball)",The kanji of this frame refers to the four bases that are placed at the corners of a baseball infield. The elements: field . . . sparkler . . . ground. [12],ルイ、 ライ、 スイ
274,楽,"music, comfort, ease",Dove . . . sparkler . . . tree. [13],ガク、ラク、ゴウ
275,樂,"music, comfort",Variants of 楽,ガク、ラク、ゴウ
276,⺡,"lively, resuscitation, being helped, living","When we speak of a lively personality or a lively party, we immediately think of a lot of chatter. This kanji depicts the idea of lively by having tongues babble and splash around like flowing water. [9]",カツ
277,水,water,"* as a primitive, this character can keep its form, or it can be written with three drops to the left of another primitive, like this: Y. This latter, as we will see, is far more common.",スイ
278,永,"eternity, long, lengthy","This kanji also uses the full form of water, though its meaning seems to have nothing at all to do with water. Remember what William Blake said about seeing “infinity in a grain of sand and eternity in an hour”? Well, reading this character from top to bottom, we see “eternity in a drop of water.” [5]",エイ
279,平,water lily,"* as a primitive, this kanji can keep its pictographic meaning of a water lily.",ヘイ、ビョウ、ヒョウ
280,土,"soil, dirt, land","* as a primitive, the sense of soil is extended to that of ground because of its connection with the kanji for the same (frame 515). From there it also takes the added meanings of dirt and land.",ド、ト
281,寺,Buddhist temple,"You have heard of people “attaching” themselves to a particular sect? Here is your chance to take that metaphor literally and imagine some fellow walking into a Buddhist temple with a fervent resolve to attach himself to the place. Since there is plenty of unused land around the precincts, he simply picks out a suitable patch, brushes the soles of his feet with glue, steps down firmly, and so join the Buddhist temple as a “permanent member.” [6]",ジ
282,圭,"ivy, that creepy vegetation that covers the surface of the ground to form a sort of “second” ground that can get somewhat tricky to walk on without tripping.","* as a primitive, we shall use this character to mean ivy, that creepy vegetation that covers the surface of the ground to form a sort of “second” ground that can get somewhat tricky to walk on without tripping.",ケイ、ケ
283,𠮷,lidded crock,* lidded crock B Soil over the mouth of a container gives us a piece of clay pottery with its lid. Behold the lidded crock. [6],
284,周,lap,"* as a primitive, this character can take the added significance of a lap. 1",シュウ
285,圥,rice seedlings,"As we mentioned back in frame 234, rice seedlings get an element all their own: soil and man legs becomes an ideograph of the spikelets of rice bunched together for implanting in the muddy soil of the paddy. [5]",
286,坴,"clod of earth, land",Rice seedlings . . . ground. [8],
287,士,"samurai, Japan’s warrior class","* The primitive meaning reverts to the more colourful image of the samurai, Japan’s warrior class.",シ
288,吉,an aerosol can,"* as a primitive, we shall take this shape to mean an aerosol can, from the mouth and the very tightly-fitting lid (note how it differs here from the lidded crock).",キチ、 キツ
289,志,"intention, plan, resolve, aspire, motive, hopes, shilling",Samurai . . . heart. [7],
290,豆,table,"* as a primitive, this kanji will mean table.",トウ、 ズ
291,壴,drum,"* drum OE The element meaning drum shows a samurai over a table. The top stroke of the table is appears to be missing, but actually it has simply doubled up with the final stroke of the element for samurai. [9]",
292,喜,"rejoice, take pleasure in",Drum . . . mouth. [12],キ
293,壹,,,
294,臺,,,
296,壽,,,
297,壬,the samurai is carrying in his role as the master’s porter,* porter b Let the extended dot at the top represent the load that the samurai is carrying in his role as the master’s porter. [4],
298,任,"responsibility, duty, term, entrust to, appoint",Person . . . porter. [6],ニン
299,殼,"husk, nut shell",Samurai . . . superfluous . . . missile. [11],
300,火,fire,"* To avoid confusion later on, it is best to keep to the meaning of a fireplace (or hearth) or a raging conflagration like a forest fire for this kanji’s primitive meaning. Another primitive element for fire, based on this one, is written ½ and will mean flames, cauldron, cooking fire, or an oven fire.",カ
301,⺣,"spot, point, mark, speck, decimal point","If you look into the flickering of a fire for a long time and then turn aside, you will see spots before your eyes. Although nobody ever thought of such a thing before—as least as far as I know, they didn’t—imagine using those spots as a technique for fortune-telling. The old witch sits before her cauldron and watches the spots that show up when she turns to look at you, and from that tells your fortune. [9]",テン
302,魚,fish,"The composition of this kanji shows three elements, which we list in the order of their writing: bound up . . . rice field . . . cooking fire. We can join them together by thinking of a three-part story: first a fish is caught and bound up on a line with its unfortunate school-mates; when the fisherman gets home, he cuts off the head and tosses it, with the entrails, out into the rice fields for fertilizer; and the rest he sets in a skillet over a cooking fire for his supper. [11]",ギョ
303,力,"muscle, power","* as a primitive, either muscle or power can be used.",リョク、リキ、リイ
304,加,"add, addition, increase, join, include, Canada",Muscles . . . mouth. This is the only case in which the primitive for muscle appears on the left; note should be taken of the fact in composing one’s story. [5],カ
305,木,"tree, wood","Here we see a pictograph of a tree, showing the main trunk in the long vertical stroke and the boughs in the long horizontal stroke. The final two strokes sweep down in both directions to indicate the roots. Although it may look similar at first sight to the kanji for water (frame 130), the order in which it is written is completely different and this affects its final appearance. [4]",ボク、モク
306,术,resin,"This tree has become a pole (that is, a tree with its branches not touching) because most of its branches have been pruned off by a naive but greedy gardener anxious to siphon off its resin (the drop at the top, written as the final stroke) as quickly as possible. [5]",
307,樊,,,
308,未,"un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac","As the key word suggests, this kanji has to do with something not quite over and done with. More concretely, it shows us a tree that is not yet fully grown. The extra short stroke in the upper branches shows new branches spreading out, leaving one with the feeling that the tree has a ways to go yet before it reaches maturity. In other words, the kanji conveys its meaning pictographically, playing on the earlier pictograph of the tree. [5]",ミ、ビ
309,末,"end, close, tip, powder, posterity","previous frame. The first stroke shows a branch that is longer than the main branch, indicating that the tree has reached the extremity of its growth, so that its branches stop spreading and start drooping downwards. Be sure to keep this imagery in mind, to avoid confusing this key word with synonyms that will appear later. [5]",マツ、バツ
312,禾,wheat,"* wheat M This primitive element will be made to stand for wheat. It connotes a special grain, more expensive than ordinary rice and so reserved for special occasions. Alternatively, it can mean cereal. Its form is like that for tree, except for the dot at the top to represent a spike of wheat blowing in the wind. [5]",
314,秋,autumn,Wheat . . . fire. [9],
315,利,"profit, advantage, benefit",Wheat . . . sabre. Be careful not to confuse with gain (frame 876) or earnings (frame 893). [7],リ
316,秀,"excel, excellence, beauty, surpass",Wheat . . . fist. [7],シュウ
317,米,"rice, USA","* as a primitive, it keeps its meaning of rice, and is meant to connote a very ordinary, commonplace grain, in contrast to the primitive for wheat that we just learned. (This meaning accords well with Japan, where the output of rice far exceeds that of wheat.) It occasionally takes the shape j when it stands on its own, or is joined to a line above. In this case, we shall have it refer specifically to grains of rice. This primitive is not to be confused with the similar-looking primitive for water. While the stroke orders are nearly alike, grains of rice has 5 strokes, while water only has 4 because it joins the second and third strokes into one. Finally, we may note that by itself the kanji for rice is an abbreviation used for the United States, which can then also serve as an alternate reading for the main primitive form, if you so wish.",ベイ、マイ、メエトル
318,奥,"heart, interior",A drop . . . pent in . . . rice . . . St. Bernard dog. Notice that the horizontal line of the bottom primitive doubles up as the final stroke for pent in. [12],
319,屡,,,
320,迷,"astray, be perplexed, in doubt, lost, err, illusion",Road . . . U.S.A. [9],メイ
321,断,"severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting",Fishhook . . . rice . . . ax. [11],ダン
322,漆,"lacquer, varnish, seven",Water . . . tree . . . umbrella . . . grains of rice. [14],シツ
323,釆,"separate, divide, topped rice radical","Having already met the primitive for human footprints, we now introduce the one for animal tracks. Its elements are simply: a drop of . . . rice. [7]",ハン、 ベン、 サイ
324,番,a pair of dice which it is your turn to throw,"* as a primitive ELEMENT, we choose the image of a pair of dice which it is your turn to throw.",バン
325,来,,,
326,求,"request, want, wish for, require, demand","Let the drop in the upper right-hand corner of this character close the right angle off to make an arrowhead. Whenever we find the needle with that drop in an element that has no other special meaning, we will take advantage of this primitive meaning. At the bottom, we see the grains of rice, the vertical line doubling up for the two elements. Do not confuse with petition (frame 135). [7]",キュウ、グ
327,㐅,sheaf,* sheaf ¤ These two strokes are a crude drawing of a bundle of stalks bound together into a sheaf. [2],
328,区②,"ward, district","The ward referred to here is a subdivision of a large city. Its elements: box . . . sheaves. When used as a primitive ELEMENT, it may be helpful at times to break it up into these same composite elements. [4]",
329,龷,salad,* salad { The element for flowers joins with the long horizontal stroke beneath it to create the picture of a bowl of salad. [4],
330,散,"scatter, disperse, spend, squander",Salad . . . flesh . . taskmaster. [12],サン
331,老,"old man, old age, grow old","First, do not confuse this character with venerable old man (frame 786), which is far more rarely used. The character for an old man begins with an abbreviation of the character for somebody, the nose having been shortened into a simple crisscross of lines. But there is another, simpler way to remember it all: the soil drawn first indicates that one has come close to the age when “dust to dust” begins to take on a personal meaning; the diagonal walking stick for getting around; and the spoon for being spoon-fed. [6]",ロウ
332,考,"consider, think over","Old man . . . slingshot. Remember: you already have kanji for discriminating (frame 482), deliberation (frame 642), and think (frame 605). [6]",コウ
333,孝,"filial piety, child's respect",Old man . . . child. [7],コウ、キョウ
334,者,puppet on a string,* as a primitive it means a puppet-on-a-string. 3,シャ
335,諸,"various, many, several, together",Words . . . puppet. Do not confuse with miscellaneous (frame 562). [15],
336,暑,"sultry, hot, summer heat",The key word refers to the heat of summer. Its elements: sun . . . puppet. [12],ショ
337,署,"signature, govt office, police station",Eye . . . puppet. [13],ショ
338,龶,grow up,"* grow up ¦ As the plant grows up it sprouts leaves and a stalk, which are depicted here over a single horizontal stroke for the soil. Think of something (its relative primitive) growing up in a flash to many times its normal size, much like little Alice in Wonderland, who grew up so fast she was soon larger than the room in which she was sitting. [4]",
339,麦,"barley, wheat",Grow up . . . walking legs. [7],バク
340,青,"blue, green",Grow up . . . moon. [8],セイ、ショウ
341,錆,,,
342,責,"blame, condemn, censure",Grow up . . . oyster. [11],セキ
343,表,"surface, table, chart, diagram","Grow up . . . rags. This character represents the “outside” of a garment, just as the kanji for back (frame 399) depicted the “inside” or lining. [8]",ヒョウ
344,契,"pledge, promise, vow",Grow up . . . dagger . . . St. Bernard dog. The connotation of this character should be kept distinct from that for vow (frame 1133) and promise (frame 1362). [9],ケイ
345,害,"harm, injury",House . . . grow up . . . mouth. [10],ガイ
346,𡗗,bonsai,"The element for bushes has an extra stroke added (drawn from the point where the second and fifth strokes intersect when it “encloses” something beneath, otherwise from the point where the fourth and fifth strokes intersect) to give the image of the crutches Japanese gardeners use to hold up a tree that is being bent into shape. From there it is but a short leap to the small bonsai plants that imitate this art in miniature. [5]",
347,春,"springtime, spring (season)",Bonsai . . . sun. [9],シュン
348,生,"a microscopic cell, that miraculous unit that grows up to become a living being.","* as a primitive, we may think of a microscopic cell, that miraculous unit that grows up to become a living being.",セイ、ショウ
349,革,"leather, skin, reform, become serious","After the flowers at the top (painted on the leather for decoration), we see the element for car with the middle stroke left out. Think of the seats having been taken out so that they can be reupholstered with this decorated leather. [9]",カク
350,堇,cabbage,"* cabbage Ÿ The flower, the mouth, and the element for grow up combine here to create the primitive for cabbage. [10]",
351,𦰩,scarecrow,"* scarecrow ¡ By twisting the final two strokes of our cabbage into a pair of legs, we get a scarecrow with a cabbage for a head. [10]",
352,,"splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous",Flower . . . silage . . . needle. [10],
353,乗,"ride, power, multiplication, record, counter for vehicles, board, mount, join","The simplest way to remember this character is by looking for the wheat in it, which doubles up with one stroke of silage. [9]",ジョウ、ショウ
354,𠃌,clothes hanger,"* clothes hanger ‘ This element, which looks something like a backwards hook, we will call a clothes hanger. Used as an enclosure, it begins further to the left. [1]",
355,司,"director, official, govt office, rule, administer",Clothes hanger . . . one . . . mouth. [5],シ
357,干,clothesline,* The primitive meaning is clothesline.,
358,于,potato,* potato 6 Note how this element differs from dry in virtue of the small hook at the end of the third stroke. [3],
359,余,scale,"* Since the phrase “too much” is overly abstract, we shall take the image of a scale whose indicator spins round and round on the dial because too much weight has been set on it. It will help to use this image in learning the kanji itself.",ヨ
360,𠀆,,,
361,奉,"observance, offer, present, dedicate","Bonsai . . . cornstalk. Use a ritualistic, religious meaning. [8]",ホウ、 ブ
362,丰,bushes,"* bushes 1 Whatever image you contrived for the character meaning hedge (frame 154), choose something different and clearly distinguishable for this primitive for bushes. The element itself differs from that for grow up only in the extension of the single vertical stroke beneath the final horizontal stroke and in the order of writing. Though we shall meet only one instance of it in this chapter and one more later on, it is worth noting that when this element appears on the side, the final stroke is sloped somewhat to the left: §. [4]",
363,寿,"longevity, congratulations, one's natural life",Bushes . . . glue. [7],ジュ、 ス、 シュウ
364,耒,chrismas tree,"* Christmas tree ¦ The addition of the final two strokes to the element for bushes gives the sense of a tree that is also a bush. Hence, the Christmas tree. [6]",
365,虫,insect,"* as a primitive, this insect will refer to the whole insect kingdom, so that it can be further specified in each kanji that contains it.",チュウ、キ
366,風,"wind, air, style, manner","Windy . . . drops of . . . insects. Hint: think of the last two primitives as representing a swarm of gnats, those tiny drops of pesky insects. [9]",フウ、フ
367,禸,"rump, footprint radical (no. 114)",,
368,瓜,melon,The only thing that distinguishes this from the claw is the addition of the elbow (drawn with 3 strokes) in the middle. [5],
369,属,"belong, genus, subordinate official, affiliated",Flag . . . gnats (see frame 524) . . . with a belt. [12],ゾク、 ショク
370,皿,"dish, a helping, plate","The kanji for a dish is, clearly, the pictograph of a painted or carved bowl, seen from the side. [5]",ベイ
371,益,"benefit, gain, profit, advantage",What we have poised over the dish here is a pair of animal horns that are attached to a pair of animal legs by a single horizontal stroke. [10],
372,,"miss, mourning","Soil . . . two mouths . . . hairpin. Hint: see spit (frame 151). The key word carries the wide range of meanings readily associated with it: error, loss, absence, and so on. [12]",ソウ
373,長,"hair, long","* The primitive of this kanji has two more shapes in addition to that of the kanji itself.

Above its relative primitive, it is abbreviated to the form À and will mean hair.

Further abbreviated to ½, it will mean the long, mangy mane of an animal.",チョウ
374,髟,"hair hanging long, mane, long hair radical",,
375,𠀎,celery,"* celery This primitive looks very close to that for salad, except that an extra horizontal line has been included, reminiscent I should think of the long celery sticks in your salad. [5]",
376,㐮,graas skirt,"This unusual looking grass skirt is composed of a top hat and scarf, and eight celery sticks. [13]",
377,艮,silver,"* silver Ò We give this element the meaning of silver from the kanji in the following frame. Both the original pictographic representation and the primitive elements that make it up are more trouble to hunt out than they are worth. It is best simply to learn it as is. In doing so, take careful note of the stroke order, and also the fact that when this element appears on the left, the penultimate stroke is omitted, giving us simply ·. [6]",
378,即,"instant, namely, as is, conform, agree, adapt",Silver . . . stamp. [7],ソク
379,郷,"home town, village, native place, district",Cocoon . . . silver . . . city walls. [11],キョウ、 ゴウ
380,良,saint's halo,"* as a primitive, use the image of a saint’s halo. As with silver, when this element is drawn on the left, the penultimate stroke is omitted, giving us ¸.",リョウ
381,郎,"son, counter for sons",Halo . . . city walls. [9],ロウ、 リョウ
382,食,eating or food,"* as a primitive, this kanji can mean either eating or food. As was the case with silver, when situated on the left the final two strokes of this element are abbreviated into one.",ショク、 ジキ
383,旡,waitress,"* waitress ý If you draw this character once, you will see that its first three strokes resemble the form for receipt (except that the second stroke ends more parallel to the first), with its last stroke stretched to form the first of the two human legs. From this we give it its meaning of a waitress (who should not be confused with the waiter back in frame 976). [4]",
384,既,"previously, already, long ago",Silver . . . waitress. Do not confuse this kanji’s key word with before (frame 248). [10],キ
386,牙,"tusk, fang, tusk radical (no. 92)","If you play with this primitive’s form with pencil and paper, you will see that it begins with a box-like shape, and ends with the final two strokes of the halberd, a convenient combination for the tusk protruding from the mouth of an animal. [4]",
387,糸,thread,"Remember when your granny used to ask you to bend your arms at the elbows and hold them out so that she could use them like a rack to hold a skein of string or yarn (here thread) while she rolled it up into a little ball? Now can you see the two elbows (with the second stroke doubling up) at the top, and the character for little below? [6]",シ
388,維,"fiber, tie, rope",Thread . . . turkey. [14],イ
389,幺,cocoon,"* cocoon X The two triangular shapes here and their final stroke are intended as a pictograph of a cocoon, spun in circles and tied up at the end. It is like the character for thread, except that the silkworm’s actual product has not yet emerged clearly at the bottom. [3]",
390,幼,"infancy, childhood",Cocoon . . . muscle. [5],ヨウ
391,幾,"an abacus, the beadinstrument used in the Orient to calculate how many.","* as a primitive, this kanji will mean an abacus, the beadinstrument used in the Orient to calculate how many.",キ
392,玄,"mysterious, occultness, black, deep, profound",Top hat . . . cocoon. [5],ゲン
393,畜,"livestock, domestic fowl and animals",Mysterious . . . rice field. [10],チク
394,系,"yarn, as the uniting of many threads into a single strand is most obvious with yarn.","* as a primitive, we shall give this kanji the meaning of yarn, as the uniting of many threads into a single strand is most obvious with yarn.",ケイ
395,孫,"grandchild, descendants",Child . . . yarn. [10],ソン
396,兆,portent,"* When this character is used as a primitive in its full form, we keep the key-word sense of a portent. When it appears to the left in its abbreviated form (namely, the left half only, 7), we shall give it the pictographic sense of a turtle. 1",チョウ
397,牛,cow,"* as a primitive, the same sense of cow is kept. Note only that when it is placed over another element, its tail is cut off, giving us 8.",ギュウ
